year,playlist_id,video_id,set_number,video_type,book_number,title,description,published_at,youtube_url,embed_url,thumbnail_url
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,yjiwgXpP7_g,910058,unknown,,LEGO Instructions - BrickLink - 910058 - Sequoia Tree Trail - Designer Program Series 6,"🧱 LEGO Instructions – BrickLink – 910058 – Sequoia Tree Trail
Watch step-by-step building instructions for LEGO BrickLink set 910058 – Sequoia Tree Trail.
Perfect for LEGO fans, collectors, and builders looking for BrickLink LEGO instructions.
📦 Set Information:
• Set Number: 910058
• Name: Sequoia Tree Trail
• Theme: BrickLink
• Subtheme: Designer Program Series 6
• Year Released: 2025
• Pieces: 3187
🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou
🔔 Subscribe for daily LEGO builds, speed builds & tutorials!
—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.
#LEGO #LEGOInstructions #LEGOBrickLink #LEGO910058 #LEGOBuild",2026-02-15T12:52:02Z,https://www.youtube.com/watch?v=yjiwgXpP7_g,https://www.youtube.com/embed/yjiwgXpP7_g,https://i.ytimg.com/vi/yjiwgXpP7_g/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,w39A-ongKGg,910056,unknown,,LEGO Instructions - BrickLink - 910056 - Off-Road Adventure - Designer Program Series 6,"🧱 LEGO Instructions – BrickLink – 910056 – Off-Road Adventure
Watch step-by-step building instructions for LEGO BrickLink set 910056 – Off-Road Adventure.
Perfect for LEGO fans, collectors, and builders looking for BrickLink LEGO instructions.
📦 Set Information:
• Set Number: 910056
• Name: Off-Road Adventure
• Theme: BrickLink
• Subtheme: Designer Program Series 6
• Year Released: 2025
• Pieces: 978
🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou
🔔 Subscribe for daily LEGO builds, speed builds & tutorials!
—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.
#LEGO #LEGOInstructions #LEGOBrickLink #LEGO910056 #LEGOBuild",2026-02-15T10:56:37Z,https://www.youtube.com/watch?v=w39A-ongKGg,https://www.youtube.com/embed/w39A-ongKGg,https://i.ytimg.com/vi/w39A-ongKGg/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,HckVA7KqmTE,910055,unknown,,LEGO Instructions - BrickLink - 910055 - Gold Mine Expedition - Designer Program Series 6,"🧱 LEGO Instructions – BrickLink – 910055 – Gold Mine Expedition
Watch step-by-step building instructions for LEGO BrickLink set 910055 – Gold Mine Expedition.
Perfect for LEGO fans, collectors, and builders looking for BrickLink LEGO instructions.
📦 Set Information:
• Set Number: 910055
• Name: Gold Mine Expedition
• Theme: BrickLink
• Subtheme: Designer Program Series 6
• Year Released: 2025
• Pieces: 3382
🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou
🔔 Subscribe for daily LEGO builds, speed builds & tutorials!
—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.
#LEGO #LEGOInstructions #LEGOBrickLink #LEGO910055 #LEGOBuild",2026-02-15T10:46:29Z,https://www.youtube.com/watch?v=HckVA7KqmTE,https://www.youtube.com/embed/HckVA7KqmTE,https://i.ytimg.com/vi/HckVA7KqmTE/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,I12pMTGf-Oo,910057,unknown,,LEGO Instructions - BrickLink - 910057 - Outlaw Forest Den - Designer Program Series 6,"🧱 LEGO Instructions – BrickLink – 910057 – Outlaw Forest Den
Watch step-by-step building instructions for LEGO BrickLink set 910057 – Outlaw Forest Den.
Perfect for LEGO fans, collectors, and builders looking for BrickLink LEGO instructions.
📦 Set Information:
• Set Number: 910057
• Name: Outlaw Forest Den
• Theme: BrickLink
• Subtheme: Designer Program Series 6
• Year Released: 2025
• Pieces: 2618
🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou
🔔 Subscribe for daily LEGO builds, speed builds & tutorials!
—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.
#LEGO #LEGOInstructions #LEGOBrickLink #LEGO910057 #LEGOBuild",2026-02-15T12:05:42Z,https://www.youtube.com/watch?v=I12pMTGf-Oo,https://www.youtube.com/embed/I12pMTGf-Oo,https://i.ytimg.com/vi/I12pMTGf-Oo/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,M6dlnK_NtTY,910054,unknown,,LEGO Instructions - BrickLink - 910054 - The Art Factory - Designer Program Series 6,"🧱 LEGO Instructions – BrickLink – 910054 – The Art Factory
Watch step-by-step building instructions for LEGO BrickLink set 910054 – The Art Factory.
Perfect for LEGO fans, collectors, and builders looking for BrickLink LEGO instructions.
📦 Set Information:
• Set Number: 910054
• Name: The Art Factory
• Theme: BrickLink
• Subtheme: Designer Program Series 6
• Year Released: 2025
• Pieces: 2256
🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou
🔔 Subscribe for daily LEGO builds, speed builds & tutorials!
—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.
#LEGO #LEGOInstructions #LEGOBrickLink #LEGO910054 #LEGOBuild",2026-02-15T09:51:34Z,https://www.youtube.com/watch?v=M6dlnK_NtTY,https://www.youtube.com/embed/M6dlnK_NtTY,https://i.ytimg.com/vi/M6dlnK_NtTY/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,Sd8cfzn2G4M,66808,unknown,,LEGO Instructions - Star Wars - 66808 - Epic Battle Set - Product Collection,"🧱 LEGO Instructions – Star Wars – 66808 – Epic Battle Set (All Books)

Watch step-by-step building instructions for LEGO Star Wars set 66808 – Epic Battle Set.
Perfect for LEGO fans, collectors, and builders looking for Star Wars LEGO instructions.

📦 Set Information:
• Set Number: 66808
• Name: Epic Battle Set
• Theme: Star Wars
• Subtheme: Product Collection
• Year Released: 2025
• Pieces: 1308

🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou  

🔔 Subscribe for daily LEGO builds, speed builds & tutorials!  

—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.

#LEGO #LEGOInstructions #LEGOStar Wars #LEGO66808 #LEGOBuild",2025-12-30T08:30:09Z,https://www.youtube.com/watch?v=Sd8cfzn2G4M,https://www.youtube.com/embed/Sd8cfzn2G4M,https://i.ytimg.com/vi/Sd8cfzn2G4M/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,P_wuGsDnE_0,412601,unknown,,LEGO Instructions - Technic - 412601 - Submarine - Magazine Gift,"🧱 LEGO Instructions – Technic – 412601 – Submarine

Watch step-by-step building instructions for LEGO Technic set 412601 – Submarine.
Perfect for LEGO fans, collectors, and builders looking for City LEGO instructions.

📦 Set Information:
• Set Number: 412601
• Name: Submarine
• Theme: Technic
• Subtheme: Magazine Gift
• Year Released: 2025
• Pieces: 70

🎬 More LEGO Instructions: https://www.youtube.com/@LEGOINSTRUCTIONSFORYOU  

🔔 Subscribe for daily LEGO builds, speed builds & tutorials!  

—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.

#LEGO #LEGOInstructions #LEGOTechnic  #LEGO412601 #LEGOBuild",2025-12-30T18:13:40Z,https://www.youtube.com/watch?v=P_wuGsDnE_0,https://www.youtube.com/embed/P_wuGsDnE_0,https://i.ytimg.com/vi/P_wuGsDnE_0/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,SFBy6qEZ-v0,66803,unknown,,LEGO Instructions - City - 66803 - Built For Speed Gift Set - Product Collection,"🧱 LEGO Instructions – City – 66803 – Built For Speed Gift Set

Watch step-by-step building instructions for LEGO City set 66803 – Built For Speed Gift Set.
Perfect for LEGO fans, collectors, and builders looking for City LEGO instructions.

📦 Set Information:
• Set Number: 66803
• Name: Built For Speed Gift Set
• Theme: City
• Subtheme: Product Collection
• Year Released: 2025
• Pieces: 348

🎬 More LEGO Instructions: https://www.youtube.com/@LEGOINSTRUCTIONSFORYOU  

🔔 Subscribe for daily LEGO builds, speed builds & tutorials!  

—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.

#LEGO #LEGOInstructions #LEGOCity #LEGO66803 #LEGOBuild",2025-12-30T07:35:27Z,https://www.youtube.com/watch?v=SFBy6qEZ-v0,https://www.youtube.com/embed/SFBy6qEZ-v0,https://i.ytimg.com/vi/SFBy6qEZ-v0/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,gYdhRBAuJG4,66804,unknown,,LEGO Instructions - Star Wars - 66804 - Star Wars: The Clone Wars and The Mandalorian Gift Set,"🧱 LEGO Instructions – Star Wars – 66804 – Star Wars: The Clone Wars and The Mandalorian Gift Set (All Books)

Watch step-by-step building instructions for LEGO Star Wars set 66804 – Star Wars: The Clone Wars and The Mandalorian Gift Set.
Perfect for LEGO fans, collectors, and builders looking for Star Wars LEGO instructions.

📦 Set Information:
• Set Number: 66804
• Name: Star Wars: The Clone Wars and The Mandalorian Gift Set
• Theme: Star Wars
• Subtheme: Product Collection
• Year Released: 2025
• Pieces: 423

🎬 More LEGO Instructions: https://www.youtube.com/@LEGOInstructionsForYou  

🔔 Subscribe for daily LEGO builds, speed builds & tutorials!  

—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.

#LEGO #LEGOInstructions #LEGOStar Wars #LEGO66804 #LEGOBuild",2025-12-30T07:46:39Z,https://www.youtube.com/watch?v=gYdhRBAuJG4,https://www.youtube.com/embed/gYdhRBAuJG4,https://i.ytimg.com/vi/gYdhRBAuJG4/maxresdefault.jpg
2025,PLQcpf5VzBO0r7AYWpgFpJcBfPDB8rf81V,NX9HlpjipAU,66806,unknown,,LEGO Instructions - Friends - 66806 - Explore Outdoors Gift Set - Product Collection,"🧱 LEGO Instructions – Friends – 66806 – Explore Outdoors Gift Set

Watch step-by-step building instructions for LEGO Friends set 66806 – Explore Outdoors Gift Set.
Perfect for LEGO fans, collectors, and builders looking for Friends LEGO instructions.

📦 Set Information:
• Set Number: 66806
• Name: Explore Outdoors Gift Set
• Theme: Friends
• Subtheme: Product Collection
• Year Released: 2025
• Pieces: 521

🎬 More LEGO Instructions: https://www.youtube.com/@LEGOINSTRUCTIONSFORYOU  

🔔 Subscribe for daily LEGO builds, speed builds & tutorials!  

—
LEGO® is a trademark of the LEGO Group, which does not sponsor, authorize, or endorse this content.

#LEGO #LEGOInstructions #LEGOFriends #LEGO66806 #LEGOBuild",2025-12-30T08:04:58Z,https://www.youtube.com/watch?v=NX9HlpjipAU,https://www.youtube.com/embed/NX9HlpjipAU,https://i.ytimg.com/vi/NX9HlpjipAU/maxresdefault.jpg
